Study_Hours,Sleep_Hours,Social_Media_Usage,Extracurricular_Activities,Physical_Activity,Stress_Level,Productivity_Level,Burnout_Risk,Academic_Performance
6,7,1,No,4,High,Medium,High,3.620215447231433
8,4,4,Yes,3,Medium,Medium,Low,2.117624919551152
4,6,5,No,6,Medium,High,Medium,3.5097069959872025
1,5,1,Yes,4,Low,Medium,Low,3.120953484463037
8,9,0,No,5,Low,High,Low,3.685895838993445
9,6,2,No,1,Low,Low,Medium,3.3265346237429365
3,5,5,Yes,0,High,Medium,High,3.631489769000648
1,8,2,Yes,2,High,Low,Low,2.33959453355327
11,4,3,Yes,6,Medium,Medium,Medium,2.4206268119878116
6,5,2,No,0,Low,Medium,Medium,2.96891981087556
6,4,3,Yes,1,Low,Medium,Medium,2.0191858300598673
9,4,0,No,6,Medium,Low,High,3.489828295266703
4,6,0,No,6,High,Low,Medium,3.0564291128524976
1,8,1,Yes,1,High,Low,High,2.013099594172209
11,4,0,Yes,2,Medium,Medium,High,2.658690337903979
8,8,5,No,3,Medium,Medium,Low,2.5646406366329595
7,8,1,Yes,0,Low,High,Medium,2.453638256198486
8,6,1,No,2,Low,High,High,2.2189220750340235
9,9,0,Yes,3,High,Medium,High,3.590781317555957
6,6,1,Yes,3,Low,Low,High,2.9144002074524265
4,9,3,No,3,Medium,High,Medium,3.7893040495362067
4,5,2,No,4,Low,Low,Medium,3.9377694220366357
9,4,0,No,2,Low,Low,Low,2.4296755797472875
1,4,2,No,0,High,High,Low,3.1493703671685775
7,7,4,Yes,6,High,Medium,Low,2.390848427525847
4,8,1,Yes,3,Medium,High,High,2.2891528052244645
8,9,0,No,3,Low,High,Medium,3.9066055841070044
3,5,2,No,2,Medium,Medium,Medium,2.7847421483068717
3,8,3,No,0,Medium,High,Medium,2.439858496884659
4,4,4,No,3,Low,Medium,Low,3.353056305873248
6,5,2,Yes,2,Medium,High,Medium,2.088482757809479
10,8,5,No,2,Medium,High,High,3.43255615987883
1,4,0,No,3,High,Medium,Low,2.355314935086995
8,7,3,Yes,3,Low,High,Medium,3.859114471361786
5,5,3,No,2,Low,Low,Low,3.5017630994401245
3,8,3,No,2,Low,Low,Low,3.621189307160101
5,5,2,Yes,3,Low,Medium,High,3.9176950460168847
2,4,0,Yes,5,Medium,High,Low,2.408668538672922
5,8,3,Yes,2,Low,Low,High,2.66251156017249
4,7,3,No,1,Medium,Medium,Low,3.2588275625271064
10,5,5,No,4,High,High,Low,2.9660190064244136
10,8,5,Yes,1,High,High,High,3.127355695575706
9,7,1,No,6,High,High,Low,3.6209755433220288
9,7,0,No,3,Low,High,Medium,2.181570748148978
3,5,3,Yes,2,Medium,Low,Low,2.1651360773148065
10,4,5,No,6,Low,Medium,Medium,3.042200183647228
11,6,2,Yes,1,Medium,High,Medium,2.3876755644166563
3,5,4,No,6,High,Medium,Medium,3.9963361191153224
4,7,0,No,1,Medium,Medium,Medium,3.72604950473758
2,7,0,No,0,Low,Medium,High,2.904642824771226
3,9,2,No,6,Low,Low,Low,2.4447557789426693
4,6,5,No,4,Low,Low,High,3.195392071091006
6,5,3,Yes,4,High,Low,Low,3.8531122508599926
7,9,5,Yes,6,Medium,Medium,High,3.8070825693547095
1,7,5,Yes,0,High,Medium,Medium,2.480248506708537
3,8,0,Yes,1,High,Medium,Medium,3.143901047818732
4,4,4,Yes,1,High,Medium,Low,3.8144164464900534
4,7,1,No,6,Low,Medium,Medium,3.139133191374013
1,8,3,Yes,2,High,High,Low,3.5924892602952525
2,8,5,No,5,High,Low,High,3.8564024563785466
1,8,0,Yes,0,Low,Low,High,2.7173160715459077
9,4,5,No,0,Medium,Medium,High,2.4118255193319653
2,6,3,Yes,3,Medium,High,Low,2.335008262831835
4,4,4,Yes,5,Medium,High,Medium,3.878047102579231
5,7,3,Yes,0,Low,Medium,Medium,3.2963979440268436
6,8,2,Yes,3,Medium,Medium,High,2.4019007337404616
9,4,1,No,0,Medium,Low,Medium,2.603251807735397
3,5,0,Yes,5,High,Low,Low,2.6821959529472474
8,6,5,Yes,2,Low,Medium,High,3.058696465967615
8,8,3,No,5,High,Medium,Medium,3.455475372283292
4,8,1,Yes,1,Medium,Low,High,2.0811953277111535
11,4,5,No,1,High,Medium,Low,3.4253350062541226
11,8,4,No,3,High,High,High,2.5209907937587923
9,5,3,Yes,1,Medium,Low,Medium,3.18380156530763
5,5,4,Yes,5,Low,High,High,3.31947394191671
1,6,2,No,1,Low,Medium,Medium,2.1923159284953178
7,8,0,Yes,0,Low,Low,Medium,3.6261355421812964
2,5,3,Yes,6,Low,Medium,Medium,3.1160385540468303
3,6,5,No,3,Medium,High,High,3.042593746936351
3,4,4,No,6,Low,Low,Medium,3.5032772779657204
3,4,0,Yes,3,Low,Low,High,2.43576323096333
9,5,3,Yes,1,Medium,Medium,High,2.9886739307840706
3,9,5,Yes,6,High,Medium,Low,3.7467656659757305
10,9,5,No,6,Medium,Medium,Medium,2.9383590570755125
5,7,4,Yes,3,Medium,Low,Medium,2.930856521362985
1,8,2,Yes,3,Medium,High,Low,2.669781537588537
2,6,0,No,2,Low,Medium,Medium,3.224029658056751
11,7,1,Yes,4,Medium,Medium,High,2.9179983512633134
3,6,0,No,1,Low,Medium,Low,2.6761242963440663
11,4,1,Yes,0,Low,Low,Low,3.8663573385179077
11,7,0,No,2,High,Low,High,3.127852607231787
11,7,5,No,3,High,Medium,Medium,3.4783871401398616
10,7,3,Yes,3,Medium,Low,Low,3.730594633273055
5,4,0,Yes,6,Low,Medium,Medium,2.0554091789844104
9,5,3,No,0,High,High,Low,3.838809466860762
2,4,1,Yes,0,Medium,High,High,2.769585331721121
6,7,2,No,1,Low,Low,High,2.993257291583579
9,7,4,Yes,2,Medium,High,Medium,2.4485431504291957
11,9,4,Yes,5,High,High,Low,3.547940655968251
1,7,1,No,0,Medium,Medium,Medium,2.322533256676666
7,6,5,Yes,2,Low,High,Low,2.1880182417506093
3,7,4,Yes,3,Low,Medium,Low,3.7460763788384845
7,6,4,No,6,Low,Low,Low,2.6367492787541664
4,4,1,Yes,3,High,High,Low,3.2436111546583692
2,7,0,No,0,High,Medium,Medium,3.171864834315942
8,9,0,Yes,1,High,Low,Medium,2.9470351193314483
2,5,2,No,1,Low,Low,Low,2.475046036952862
6,6,0,No,5,High,High,Medium,3.2972836195306687
6,5,1,Yes,0,Medium,High,High,2.449724699547094
3,8,0,Yes,4,Low,Medium,Medium,2.9684556765137753
7,5,5,No,6,Low,Medium,High,3.782292642830902
2,6,1,No,3,Medium,High,Low,2.67027772559027
10,9,0,No,3,High,High,Low,2.792730908800925
3,4,5,No,0,Low,Medium,High,3.535708433075601
4,5,1,No,2,Low,Low,Low,2.347521350185144
10,6,3,No,4,Medium,Medium,Medium,3.9788340838849336
9,7,1,Yes,1,Medium,High,Low,2.698017239362021
1,7,1,No,3,High,Medium,Low,2.9586581610672877
2,8,2,Yes,4,Medium,High,High,3.3513841023075477
2,9,5,Yes,4,Low,Low,High,2.1583521401390513
4,4,1,Yes,2,Low,High,High,2.4702070296332863
11,4,4,Yes,6,Low,Low,High,3.2974211371078415
11,4,2,Yes,0,Low,Low,Medium,2.4948052778949616
11,4,1,No,5,High,Medium,Medium,2.366612174940427
7,6,3,No,4,Low,Medium,Low,2.8513345584588223
3,5,4,Yes,4,High,Medium,Medium,3.0505678000762106
2,6,2,Yes,3,High,Low,Low,2.0443148194248106
7,9,4,No,2,Low,Medium,High,2.894146473266766
8,9,2,No,5,Medium,Low,High,3.0743694075538768
6,6,0,Yes,2,High,Low,Medium,2.76560115044549
11,8,4,No,0,High,Medium,High,2.3092900678987047
10,4,5,No,0,High,High,Medium,3.0875672794939204
5,8,3,No,2,Low,Medium,Medium,3.0345296960482395
8,5,5,Yes,5,High,Low,High,3.7829751450399653
4,6,1,Yes,6,Low,Medium,High,3.5600827945116986
8,9,4,No,5,High,Low,High,3.9838686433974715
11,9,1,No,5,High,Low,High,2.700866102655453
10,8,4,No,1,Medium,Medium,High,3.743648006436379
10,7,1,No,3,Medium,Medium,Medium,3.41051561236066
8,5,5,Yes,3,High,Low,Medium,2.7707629850889672
7,5,1,Yes,5,Low,Low,High,3.6966371725809095
7,7,1,Yes,2,Medium,High,High,3.275200144106199
2,6,4,Yes,5,High,High,High,3.7398678655064286
1,4,2,No,5,Low,Medium,Low,2.5159452967223164
6,9,1,No,0,Medium,Low,Medium,3.1637084955860892
6,5,0,No,6,High,Medium,High,2.929589242386595
8,7,3,Yes,4,Medium,Medium,High,3.9744321496241843
3,4,2,No,1,High,Medium,Low,3.839953312329583
8,4,5,Yes,5,Low,Medium,Low,2.6245604229590596
7,4,4,Yes,0,High,Medium,Low,3.331524651478436
6,5,3,Yes,2,High,High,Medium,3.7621457152542948
7,9,4,No,0,Medium,High,High,2.3249283092467135
7,9,5,Yes,4,High,High,Low,2.0793150946145857
10,5,5,No,5,Medium,Low,Medium,3.0613347225020635
1,6,5,No,4,Medium,Low,Medium,3.256309981563085
6,7,0,No,1,Medium,Low,High,2.149954543317926
11,8,0,No,0,High,Low,Low,2.188903229770615
3,7,5,Yes,6,Low,Medium,High,2.3967456509299336
