Age,Gender,Sleep_Hours,Screen_Time,Exercise_Minutes,Water_Intake,Work_Study_Hours,Stress_Level,Mood,Productivity_Score,Burnout_Risk
56,Male,5.4,1.4,8,4.7,2.7,10,Neutral,41.699999999999996,High
46,Female,5.6,2.9,28,1.2,8.1,2,Sad,70.0,Medium
32,Male,6.8,8.2,37,5.0,5.2,6,Neutral,70.4,Medium
25,Male,5.4,6.5,64,1.8,5.4,9,Sad,37.599999999999994,High
38,Female,4.5,9.8,55,2.6,6.8,3,Happy,51.0,Medium
56,Female,4.8,1.7,29,1.2,9.2,3,Happy,62.8,Medium
36,Female,4.9,10.8,113,3.3,4.8,4,Sad,60.1,Medium
40,Male,8.2,12.0,95,2.9,2.8,10,Happy,57.1,Medium
28,Male,5.4,1.2,120,3.7,6.2,4,Happy,90.5,Low
28,Female,7.6,11.6,58,3.2,2.5,1,Neutral,81.39999999999999,Low
41,Male,6.8,3.6,86,2.6,9.0,2,Neutral,100.0,Low
53,Male,8.9,8.6,102,4.0,11.6,6,Happy,100.0,Low
57,Male,5.4,4.2,57,1.1,8.6,5,Neutral,59.7,Medium
41,Female,4.8,6.7,9,3.2,4.8,10,Happy,22.0,High
20,Female,4.3,6.6,107,1.5,3.8,4,Happy,50.300000000000004,Medium
39,Male,5.2,5.0,20,2.7,4.3,10,Sad,28.1,High
19,Male,7.4,8.9,55,4.2,4.2,9,Neutral,60.6,Medium
41,Male,4.4,7.6,25,1.6,5.1,2,Neutral,44.0,High
47,Male,5.2,6.6,14,4.7,3.0,8,Happy,39.099999999999994,High
55,Female,8.3,11.8,80,4.6,11.0,4,Sad,100.0,Low
19,Female,6.9,11.3,34,2.7,10.9,9,Stressed,52.499999999999986,Medium
38,Male,4.3,11.5,88,1.0,8.2,4,Neutral,42.99999999999999,High
50,Male,4.2,10.7,14,4.2,2.6,2,Stressed,41.6,High
29,Female,4.3,3.8,96,4.5,10.0,6,Neutral,73.10000000000001,Medium
39,Male,8.7,4.8,74,1.7,2.6,9,Happy,69.9,Medium
42,Female,8.2,3.5,87,4.7,3.1,7,Neutral,94.10000000000001,Low
44,Male,8.2,11.8,5,4.7,5.3,1,Neutral,89.5,Low
59,Female,8.6,2.7,27,2.9,6.3,9,Happy,77.1,Low
45,Male,6.5,5.0,62,4.2,5.5,6,Sad,75.4,Low
33,Male,5.2,3.2,28,2.8,3.7,9,Neutral,36.59999999999999,High
32,Female,6.0,3.5,47,3.3,3.1,2,Happy,77.10000000000001,Low
20,Female,7.6,3.7,62,2.3,10.6,7,Happy,85.7,Low
54,Male,8.4,8.0,57,1.6,5.6,8,Sad,66.60000000000001,Medium
24,Male,6.2,1.8,20,4.0,4.2,8,Stressed,58.800000000000004,Medium
38,Female,6.7,7.3,75,1.0,6.9,5,Sad,66.2,Medium
26,Female,8.7,10.0,21,3.3,2.4,7,Happy,64.5,Medium
56,Male,4.5,9.4,26,4.5,8.0,7,Happy,41.900000000000006,High
35,Male,8.3,2.7,84,1.9,4.5,3,Happy,100.0,Low
21,Female,4.8,11.1,78,2.3,8.0,2,Neutral,60.89999999999999,Medium
42,Female,6.4,9.5,56,3.3,8.1,5,Neutral,68.9,Medium
31,Female,5.1,1.1,81,2.0,10.1,4,Stressed,79.2,Low
26,Female,7.0,9.1,9,4.4,4.3,8,Stressed,52.199999999999996,Medium
43,Female,6.8,9.1,21,2.5,6.6,5,Neutral,59.7,Medium
19,Male,5.9,6.5,43,3.3,11.6,9,Neutral,58.3,Medium
37,Male,8.3,1.5,83,1.9,9.3,7,Sad,96.69999999999999,Low
45,Female,7.3,7.4,82,1.2,11.8,1,Neutral,100.0,Low
24,Male,7.6,9.4,27,1.7,11.3,2,Stressed,85.70000000000002,Low
25,Male,4.8,4.0,100,1.2,8.1,8,Happy,50.2,Medium
52,Female,8.4,8.3,49,2.9,4.6,10,Neutral,60.89999999999999,Medium
31,Male,4.8,4.9,50,3.3,9.6,8,Sad,51.900000000000006,Medium
34,Male,5.1,7.3,118,1.2,9.0,2,Happy,76.0,Low
53,Male,4.6,5.2,107,1.4,7.9,7,Neutral,51.8,Medium
57,Female,6.2,4.3,0,2.9,9.0,8,Neutral,53.900000000000006,Medium
21,Female,8.4,10.4,33,4.2,8.1,4,Happy,91.0,Low
19,Male,5.3,9.3,34,3.5,7.2,3,Happy,61.099999999999994,Medium
23,Male,5.9,4.8,89,1.4,6.2,10,Happy,46.6,High
59,Male,8.2,5.8,60,4.6,2.4,9,Sad,74.2,Medium
21,Male,7.1,8.6,29,4.7,10.7,2,Sad,96.5,Low
46,Male,7.8,9.9,75,2.3,10.7,3,Sad,94.1,Low
35,Male,5.1,8.5,77,3.5,7.9,8,Happy,50.7,Medium
43,Female,7.6,7.0,102,3.0,4.7,2,Neutral,98.80000000000001,Low
51,Male,5.1,11.5,67,4.8,2.3,5,Happy,50.00000000000001,Medium
27,Male,8.9,9.5,75,3.0,2.0,10,Stressed,64.0,Medium
53,Female,6.8,2.3,87,4.8,2.7,8,Neutral,78.20000000000002,Low
31,Male,7.5,7.1,39,1.8,5.6,7,Neutral,60.8,Medium
48,Male,4.6,5.5,94,2.4,3.9,4,Happy,57.599999999999994,Medium
32,Male,5.3,9.7,64,4.1,4.7,10,Stressed,36.300000000000004,High
25,Male,4.7,1.5,36,4.1,9.0,9,Sad,53.7,Medium
31,Female,6.0,5.5,63,3.9,11.6,2,Happy,96.3,Low
40,Male,5.4,4.5,0,4.4,4.1,7,Neutral,47.2,High
57,Female,7.7,2.6,14,3.8,6.7,7,Happy,79.0,Low
38,Male,4.5,5.2,12,3.5,11.9,7,Stressed,50.30000000000001,Medium
33,Male,7.8,8.4,28,2.8,11.3,7,Happy,75.4,Low
35,Female,4.2,5.0,54,2.9,5.5,5,Stressed,48.3,High
41,Male,5.0,7.4,44,2.6,5.2,1,Neutral,63.4,Medium
43,Female,8.0,7.5,3,3.5,4.4,4,Stressed,75.89999999999999,Low
42,Female,7.7,7.5,63,2.6,3.6,5,Happy,74.8,Medium
58,Female,6.4,6.8,14,1.6,6.6,10,Sad,34.39999999999999,High
46,Male,4.2,2.3,107,1.4,5.4,4,Sad,60.60000000000001,Medium
32,Male,7.0,3.4,103,4.7,9.4,7,Sad,98.1,Low
18,Male,6.0,9.8,47,1.1,4.4,2,Stressed,56.10000000000001,Medium
42,Male,5.6,6.5,75,1.4,9.4,2,Stressed,75.8,Low
24,Female,7.2,8.8,55,2.8,4.9,2,Stressed,81.2,Low
26,Male,6.2,7.3,88,2.1,7.9,10,Neutral,51.3,Medium
41,Male,4.5,1.4,90,2.6,8.4,3,Stressed,78.0,Low
18,Female,8.6,9.8,69,1.5,8.7,5,Happy,85.1,Low
25,Female,7.9,1.7,86,1.5,3.8,10,Happy,67.89999999999999,Medium
